橋梁ID,点検年1,BCI1,点検年2,BCI2,
73,2011,75.7,2013,75.4,2
73,2013,75.4,2015,74.2,2
73,2015,74.2,2017,73.7,2
74,1992,100,2001,97.8,9
74,2001,97.8,2003,94,2
74,2003,94,2005,88.9,2
74,2005,88.9,2007,78.9,2
74,2007,78.9,2009,76.8,2
74,2009,76.8,2011,74.9,2
74,2011,74.9,2013,74,2
74,2013,74,2015,74,2
74,2015,74,2017,73.8,2
75,1992,100,2001,76.1,9
75,2003,84.8,2005,80.2,2
75,2005,80.2,2007,74,2
75,2007,74,2009,73.7,2
75,2009,73.7,2011,72.9,2
75,2011,72.9,2013,72.4,2
75,2015,72.5,2017,72.5,2
76,1994,100,2001,97.4,7
76,2001,97.4,2003,87.2,2
76,2003,87.2,2005,86.1,2
76,2005,86.1,2007,74.5,2
76,2007,74.5,2009,70.4,2
76,2011,71.7,2013,70.8,2
76,2015,72,2017,72,2
77,1995,100,2001,96.4,6
77,2001,96.4,2003,88.4,2
77,2003,88.4,2005,86.5,2
77,2005,86.5,2007,84.1,2
77,2007,84.1,2009,74.7,2
77,2009,74.7,2011,74.1,2
77,2013,74.2,2015,73.5,2
77,2015,73.5,2017,73.5,2
78,1992,100,2001,98.6,9
78,2001,98.6,2003,88,2
78,2003,88,2005,84.7,2
78,2005,84.7,2007,74.5,2
78,2007,74.5,2009,74.5,2
78,2011,74.8,2013,74.2,2
78,2013,74.2,2015,73.9,2
79,1997,100,2001,98,4
79,2001,98,2003,90.5,2
79,2003,90.5,2005,88.3,2
79,2005,88.3,2007,84.7,2
79,2007,84.7,2009,76.4,2
79,2009,76.4,2011,75.5,2
79,2011,75.5,2013,75.2,2
79,2013,75.2,2015,74.6,2
79,2015,74.6,2017,74.1,2
80,1997,100,2001,96.4,4
80,2001,96.4,2003,89.9,2
80,2003,89.9,2005,87.6,2
80,2005,87.6,2007,81.7,2
80,2007,81.7,2009,75.9,2
80,2009,75.9,2011,74.9,2
80,2011,74.9,2013,74.6,2
80,2013,74.6,2015,74.5,2
80,2015,74.5,2017,74.3,2
81,1996,100,2001,98.7,5
81,2001,98.7,2003,90.4,2
81,2003,90.4,2005,87.6,2
81,2005,87.6,2007,85.5,2
81,2007,85.5,2009,75,2
81,2009,75,2011,74.7,2
81,2011,74.7,2013,74.4,2
81,2013,74.4,2015,74.2,2
81,2015,74.2,2017,74,2
82,2004,100,2005,99.9,1
82,2005,99.9,2007,94.9,2
82,2007,94.9,2009,93,2
82,2009,93,2011,89.7,2
82,2011,89.7,2013,89,2
82,2013,89,2015,86.9,2
82,2015,86.9,2017,84.2,2
83,2004,100,2005,99.9,1
83,2005,99.9,2007,93.3,2
83,2007,93.3,2009,91.4,2
83,2009,91.4,2011,88.7,2
83,2011,88.7,2013,87.9,2
83,2013,87.9,2015,85.5,2
83,2015,85.5,2017,82.8,2
84,2000,100,2005,100,5
84,2005,100,2007,78.6,2
84,2009,86.4,2011,84,2
84,2013,84.4,2015,74.2,2
84,2015,74.2,2017,74.2,2
85,2000,100,2005,100,5
85,2005,100,2007,72.3,2
85,2009,87.3,2011,84.4,2
85,2013,84.8,2015,83.2,2
85,2015,83.2,2017,81.5,2
86,2004,100,2005,100,1
86,2005,100,2007,83.5,2
86,2009,92.2,2011,89,2
86,2011,89,2013,85.8,2
86,2013,85.8,2015,84.8,2
86,2015,84.8,2017,84.2,2
87,1999,100,2001,98.3,2
87,2001,98.3,2003,93.5,2
87,2003,93.5,2005,90.1,2
87,2005,90.1,2007,77.1,2
87,2007,77.1,2009,76.7,2
87,2009,76.7,2011,75.8,2
87,2011,75.8,2013,75.5,2
87,2013,75.5,2015,75.4,2
87,2015,75.4,2017,75.1,2
88,1999,100,2001,99.5,2
88,2001,99.5,2003,94.6,2
88,2003,94.6,2005,91.9,2
88,2005,91.9,2007,83.8,2
88,2007,83.8,2009,83.8,2
88,2009,83.8,2011,83,2
88,2013,83.4,2015,82,2
88,2015,82,2017,80.1,2
89,1995,100,2001,98.8,6
89,2001,98.8,2003,89.5,2
89,2003,89.5,2005,87.3,2
89,2005,87.3,2007,83.5,2
89,2007,83.5,2009,80.1,2
89,2009,80.1,2011,78.4,2
89,2011,78.4,2013,77.3,2
89,2013,77.3,2015,76.3,2
89,2015,76.3,2017,75.7,2
90,2007,100,2009,99.8,2
90,2009,99.8,2011,91.4,2
90,2013,92.2,2015,90,2
90,2015,90,2017,86.4,2
91,2007,100,2009,99.9,2
91,2009,99.9,2011,87,2
91,2013,89.4,2015,86.3,2
91,2015,86.3,2017,82.3,2
92,2002,100,2005,97.9,3
92,2005,97.9,2007,90.7,2
92,2007,90.7,2009,88.7,2
92,2009,88.7,2011,85.1,2
92,2011,85.1,2013,80.2,2
92,2013,80.2,2015,77.2,2
92,2015,77.2,2017,76.5,2
93,1974,100,2006,73.8,32
93,2006,73.8,2010,73.6,4
93,2010,73.6,2014,73.5,4
94,1974,100,2006,72.9,32
94,2006,72.9,2010,72.7,4
94,2010,72.7,2014,72.7,4
95,1974,100,2006,71.1,32
95,2006,71.1,2010,70.8,4
95,2010,70.8,2014,70.4,4
96,1974,100,2006,73.5,32
96,2006,73.5,2010,70.5,4
97,1973,100,2013,74.2,40
97,2013,74.2,2017,73.9,4
98,2007,100,2015,85.9,8
99,2007,100,2015,86,8
100,2007,100,2015,86,8
101,2007,100,2015,92.1,8
102,2007,100,2015,74.9,8
103,1972,100,2001,64.7,29
103,2001,64.7,2002,64.5,1
103,2002,64.5,2004,64.5,2
103,2008,74.2,2010,71.4,2
103,2010,71.4,2012,70.2,2
103,2012,70.2,2014,70.2,2
103,2014,70.2,2016,69.9,2
104,1972,100,2002,67.2,30
104,2002,67.2,2004,67.2,2
104,2008,73.9,2010,72.6,2
104,2010,72.6,2012,71.8,2
104,2012,71.8,2014,71.2,2
104,2014,71.2,2016,70.8,2
105,1957,100,2002,68,45
105,2002,68,2004,68,2
105,2008,74.3,2010,73.9,2
105,2010,73.9,2012,73.3,2
105,2012,73.3,2014,72.8,2
105,2014,72.8,2016,72.5,2
106,1971,100,2001,71.5,30
106,2002,75,2004,75,2
106,2004,75,2006,71.9,2
106,2010,72.9,2012,72.6,2
106,2012,72.6,2014,72.6,2
106,2014,72.6,2016,72.6,2
107,1972,100,2001,65.1,29
107,2001,65.1,2002,64.9,1
107,2002,64.9,2004,64.9,2
107,2006,74.7,2008,74,2
107,2008,74,2010,73.5,2
107,2010,73.5,2012,72.9,2
107,2012,72.9,2014,72.9,2
107,2014,72.9,2016,72.7,2
108,1972,100,2001,71.5,29
108,2001,71.5,2002,71.3,1
108,2002,71.3,2004,71.3,2
108,2008,72.6,2010,71.7,2
108,2010,71.7,2012,69.5,2
108,2012,69.5,2014,68.9,2
108,2014,68.9,2016,68.4,2
109,1972,100,2001,65.1,29
109,2002,66.1,2004,66.1,2
109,2008,73.9,2010,73.6,2
109,2010,73.6,2012,71.3,2
109,2012,71.3,2014,70.3,2
109,2014,70.3,2016,70.3,2
110,1986,100,2001,71.5,15
110,2002,72.3,2004,72.3,2
110,2008,73.2,2010,73.2,2
110,2010,73.2,2012,73.2,2
110,2012,73.2,2014,72.8,2
110,2014,72.8,2016,72.6,2
111,1964,100,2001,64.3,37
111,2001,64.3,2002,64.2,1
111,2002,64.2,2004,64.2,2
111,2008,73.5,2010,71.2,2
111,2010,71.2,2012,68.5,2
111,2012,68.5,2014,67.2,2
112,1972,100,2001,64.6,29
112,2001,64.6,2002,64.6,1
112,2002,64.6,2004,64.6,2
112,2008,74.1,2010,72.5,2
112,2010,72.5,2012,71.4,2
112,2012,71.4,2014,70.4,2
112,2014,70.4,2016,70.2,2
113,1964,100,2004,75,40
113,2004,75,2006,74.6,2
113,2006,74.6,2008,74.3,2
113,2008,74.3,2010,72.5,2
113,2010,72.5,2012,70.5,2
113,2012,70.5,2014,69.3,2
113,2014,69.3,2016,69,2
114,1998,100,2001,100,3
114,2001,100,2002,98.9,1
114,2002,98.9,2004,74.9,2
114,2006,85.3,2008,84.8,2
114,2010,85.1,2012,81.7,2
114,2012,81.7,2014,81.5,2
114,2014,81.5,2016,81.2,2
