lable,Sample ID,Inspection Time of Prestate,Inspection Time of PostState IRI,Pre-State IRI,Post-State IRI,Inspection Post time for Sneff,Sneff ,,,Construction year,Functional inspection year,Structural inspection year,Number of samples,&,,,,,,,,
1,137,2009,2021,1,1.181752073,2017,4.584270173,2009&2021&2017,,,,,,,,,,,,,,
1,138,2009,2021,1,1.370865259,2017,3.672664358,2009&2021&2017,,,,,,,,,,,,,,
1,139,2009,2021,1,0.983763005,2017,3.709090712,2009&2021&2017,,,,,,,,,,,,,,
1,140,2009,2021,1,1.07785891,2017,3.859426384,2009&2021&2017,,,,,,,,,,,,,,
1,141,2009,2021,1,1.175681772,2017,3.996312544,2009&2021&2017,,,,,,,,,,,,,,
1,142,2009,2021,1,1.432942439,2017,3.876282203,2009&2021&2017,,,,,,,,,,,,,,
1,143,2009,2021,1,0.974893544,2017,3.620834161,2009&2021&2017,,,,,,,,,,,,,,
1,144,2009,2021,1,1.22473122,2017,3.516437988,2009&2021&2017,,,,,,,,,,,,,,
1,145,2009,2021,1,1.490620883,2017,3.697424702,2009&2021&2017,,,,,,,,,,,,,,
1,146,2009,2021,1,1.988478624,2017,3.156224593,2009&2021&2017,,,,,,,,,,,,,,
1,147,2009,2021,1,1.082998108,2017,3.457400181,2009&2021&2017,,,,,,,,,,,,,,
1,148,2009,2021,1,1.062668988,2017,2.73561413,2009&2021&2017,,,,,,,,,,,,,,
1,149,2009,2021,1,2.552104331,2017,3.417612044,2009&2021&2017,,,,,,,,,,,,,,
1,150,2009,2021,1,1.475685853,2017,3.291370468,2009&2021&2017,,,,,,,,,,,,,,
1,151,2009,2021,1,1.467185781,2017,4.010682021,2009&2021&2017,,,,,,,,,,,,,,
1,152,2009,2021,1,1.822425814,2017,3.231175413,2009&2021&2017,,,,,,,,,,,,,,
1,153,2009,2021,1,2.054449509,2017,3.33935362,2009&2021&2017,,,,,,,,,,,,,,
1,154,2009,2021,1,1.922507738,2017,3.825948185,2009&2021&2017,,,,,,,,,,,,,,
1,155,2009,2021,1,1.358186985,2017,3.247958062,2009&2021&2017,,,,,,,,,,,,,,
1,156,2009,2021,1,1.001556815,2017,3.378630923,2009&2021&2017,,,,,,,,,,,,,,
1,157,2009,2021,1,0.808311971,2017,3.436885423,2009&2021&2017,,,,,,,,,,,,,,
1,158,2009,2021,1,1.240236658,2017,2.641818168,2009&2021&2017,,,,,,,,,,,,,,
1,159,2009,2021,1,1.068149049,2017,3.111053783,2009&2021&2017,,,,,,,,,,,,,,
1,160,2009,2021,1,1.208008941,2017,2.256769834,2009&2021&2017,,,,,,,,,,,,,,
1,161,2009,2021,1,1.809877218,2017,2.701593371,2009&2021&2017,,,,,,,,,,,,,,
1,162,2009,2021,1,1.356807969,2017,2.636069204,2009&2021&2017,,,,,,,,,,,,,,
1,163,2009,2021,1,1.798271012,2017,2.539981884,2009&2021&2017,,,,,,,,,,,,,,
1,164,2009,2021,1,1.332726356,2017,2.569478154,2009&2021&2017,,,,,,,,,,,,,,
1,165,2009,2021,1,1.231063149,2017,2.744844143,2009&2021&2017,,,,,,,,,,,,,,
1,166,2009,2021,1,1.085866507,2017,3.35516334,2009&2021&2017,,,,,,,,,,,,,,
1,167,2009,2021,1,1.291079218,2017,3.355722678,2009&2021&2017,,,,,,,,,,,,,,
1,168,2009,2021,1,1.129383957,2017,3.588442606,2009&2021&2017,,,,,,,,,,,,,,
1,169,2009,2021,1,1.072826177,2017,3.256040649,2009&2021&2017,,,,,,,,,,,,,,
1,170,2009,2021,1,1.070945741,2017,3.396524704,2009&2021&2017,,,,,,,,,,,,,,
1,171,2009,2021,1,1.232424264,2017,3.263564936,2009&2021&2017,,,,,,,,,,,,,,
1,172,2009,2021,1,1.399822704,2017,3.153664411,2009&2021&2017,,,,,,,,,,,,,,
1,173,2009,2021,1,2.613872065,2017,2.530926465,2009&2021&2017,,,,,,,,,,,,,,
1,174,2009,2021,1,1.694304767,2017,2.765735767,2009&2021&2017,,,,,,,,,,,,,,
1,175,2009,2021,1,1.606922505,2017,2.63111579,2009&2021&2017,,,,,,,,,,,,,,
1,176,2009,2021,1,1.97315263,2017,3.211472377,2009&2021&2017,,,,,,,,,,,,,,
1,177,2009,2021,1,2.240362998,2017,2.695270558,2009&2021&2017,,,,,,,,,,,,,,
1,178,2009,2021,1,1.737718711,2017,3.246501048,2009&2021&2017,,,,,,,,,,,,,,
1,179,2009,2021,1,1.260473598,2017,3.318085313,2009&2021&2017,,,,,,,,,,,,,,
1,180,2009,2021,1,1.652760564,2017,2.027177674,2009&2021&2017,,,,,,,,,,,,,,
1,181,2009,2021,1,1.583262301,2017,2.73833064,2009&2021&2017,,,,,,,,,,,,,,
1,182,2009,2021,1,1.913228901,2017,3.801891343,2009&2021&2017,,,,,,,,,,,,,,
1,183,2009,2021,1,1.617260499,2017,3.424741582,2009&2021&2017,,,,,,,,,,,,,,
