経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
16,1,3,1,0.151515152,0.138,12845029,2013,1997,1
16,1,3,1,0.151515152,0.14152381,12845039,2013,1997,1
16,1,3,1,0.151515152,0.146857143,12845047,2013,1997,1
16,1,4,1,0.151515152,0.144380952,12845055,2013,1997,1
16,1,2,1,0.151515152,0.143619048,12845085,2013,1997,1
16,1,3,1,0.151515152,0.137904762,12845092,2013,1997,1
16,1,3,1,0.151515152,0.147095238,12846012,2013,1997,1
20,1,2,1,0.151515152,0.135238095,12846034,2013,1993,1
15,1,4,1,0.151515152,0.140666667,12854002,2012,1997,1
15,1,3,1,0.151515152,0.127952381,12854008,2012,1997,1
15,1,3,1,0.151515152,0.144380952,12854016,2012,1997,1
15,1,3,1,0.151515152,0.080428571,12855020,2012,1997,1
16,1,2,1,0.151515152,0.147333333,12855032,2013,1997,1
16,1,2,1,0.151515152,0.099142857,12855040,2013,1997,1
16,1,3,1,0.151515152,0.146857143,12855060,2013,1997,1
16,1,3,1,0.151515152,0.125571429,12855072,2013,1997,1
16,1,2,1,0.151515152,0.083428571,12855084,2013,1997,1
16,1,2,1,0.151515152,0.091952381,12855096,2013,1997,1
16,1,3,1,0.151515152,0.127380952,12855108,2013,1997,1
16,1,3,1,0.151515152,0.127666667,12855120,2013,1997,1
16,1,3,1,0.151515152,0.147761905,12856018,2013,1997,1
20,1,2,1,0.151515152,0.137761905,12856022,2013,1993,1
20,1,3,1,0.151515152,0.139142857,12856032,2013,1993,1
20,1,1,1,0.151515152,0.090428571,12856043,2013,1993,1
20,1,3,1,0.151515152,0.147,12856053,2013,1993,1
20,1,3,1,0.151515152,0.146,12856065,2013,1993,1
20,1,2,1,0.151515152,0.146761905,12856077,2013,1993,1
16,1,2,1,0.151515152,0.10047619,12865002,2013,1997,1
16,1,3,1,0.151515152,0.137380952,12866003,2013,1997,1
20,1,3,1,0.151515152,0.138761905,12866020,2013,1993,1
20,1,2,1,0.151515152,0.145095238,12866032,2013,1993,1
20,1,2,1,0.151515152,0.14647619,12866054,2013,1993,1
20,1,2,1,0.151515152,0.13752381,12866061,2013,1993,1
20,1,2,1,0.151515152,0.142380952,12866067,2013,1993,1
20,1,3,1,0.151515152,0.138285714,12867020,2013,1993,1
16,1,3,1,0.151515152,0.126380952,12867034,2013,1997,1
16,1,3,1,0.151515152,0.140619048,12867046,2013,1997,1
16,1,4,1,0.151515152,0.123,12867058,2013,1997,1
20,1,2,1,0.151515152,0.148952381,12876011,2013,1993,1
20,1,3,1,0.151515152,0.139238095,12876019,2013,1993,1
20,1,3,1,0.151515152,0.138666667,12876023,2013,1993,1
20,1,3,1,0.151515152,0.088714286,12877002,2013,1993,1
20,1,3,1,0.151515152,0.150952381,12877005,2013,1993,1
20,1,3,1,0.151515152,0.156666667,12877014,2013,1993,1
20,1,3,1,0.151515152,0.147,12877021,2013,1993,1
16,1,3,1,0.151515152,0.147809524,12877024,2013,1997,1
16,1,4,1,0.151515152,0.124380952,12877034,2013,1997,1
19,1,2,1,0.151515152,0.119238095,12903002,2010,1991,1
19,1,1,1,0.151515152,0.143714286,12903013,2010,1991,1
19,1,1,1,0.151515152,0.123666667,12903025,2010,1991,1
32,1,2,1,0.303030303,0.223809524,12905006,2011,1979,1
19,1,1,1,0.151515152,0.119952381,12912025,2010,1991,1
19,1,2,1,0.151515152,0.119047619,12912040,2010,1991,1
14,1,1,1,0.151515152,0.090714286,12912049,2010,1996,1
19,1,3,1,0.151515152,0.114285714,12913005,2010,1991,1
19,1,1,1,0.151515152,0.128333333,12913008,2010,1991,1
19,1,1,1,0.151515152,0.118952381,12913017,2010,1991,1
19,1,1,1,0.151515152,0.11047619,12913024,2010,1991,1
19,1,1,1,0.151515152,0.119142857,12913038,2010,1991,1
19,1,2,1,0.151515152,0.119,12913050,2010,1991,1
19,1,1,1,0.151515152,0.114333333,12913062,2010,1991,1
19,1,1,1,0.151515152,0.104761905,12913075,2010,1991,1
19,1,1,1,0.151515152,0.119095238,12913087,2010,1991,1
19,1,1,1,0.151515152,0.119,12913099,2010,1991,1
32,1,2,1,0.151515152,0.082285714,12921009,2010,1978,1
16,1,1,1,0.151515152,0.133333333,12921016,2010,1994,1
16,1,2,1,0.151515152,0.133809524,12921020,2010,1994,1
19,1,1,1,0.151515152,0.104761905,12921029,2010,1991,1
32,1,3,1,0.151515152,0.127619048,12921038,2010,1978,1
19,1,1,1,0.151515152,0.133142857,12921042,2010,1991,1
19,1,1,1,0.151515152,0.14252381,12921054,2010,1991,1
32,1,3,1,0.151515152,0.124095238,12921064,2010,1978,1
32,1,2,1,0.151515152,0.096428571,12921076,2010,1978,1
16,1,1,1,0.151515152,0.133333333,12922006,2010,1994,1
18,1,3,1,0.151515152,0.142904762,12922043,2010,1992,1
18,1,1,1,0.151515152,0.123809524,12922052,2010,1992,1
18,1,1,1,0.151515152,0.128809524,12922057,2010,1992,1
19,1,3,1,0.151515152,0.119714286,12922069,2010,1991,1
19,1,1,1,0.151515152,0.119666667,12922080,2010,1991,1
20,1,1,1,0.151515152,0.123809524,12922101,2011,1991,1
14,1,1,1,0.151515152,0.085857143,12922111,2010,1996,1
19,1,1,1,0.151515152,0.100714286,12923011,2010,1991,1
19,1,1,1,0.151515152,0.12847619,12923036,2010,1991,1
